Frame,Timestamp(s),Offset(m),Direction,Drift Warning,Lane Detected
1,0.03,0.019574763643242274,Left,No,Yes
2,0.07,0.019574763643242274,Left,No,Yes
3,0.10,0.020481213459993753,Left,No,Yes
4,0.13,0.019503539244337342,Left,No,Yes
5,0.17,0.019847945665779028,Left,No,Yes
6,0.20,0.020228148501789403,Left,No,Yes
7,0.23,0.022209885690271262,Left,No,Yes
8,0.27,0.023078452158250728,Left,No,Yes
9,0.30,0.02549661033511314,Left,No,Yes
10,0.33,0.027856017982283675,Left,No,Yes
11,0.37,0.027146705360739144,Left,No,Yes
12,0.40,0.026308379309132726,Left,No,Yes
13,0.43,0.023811786915514797,Left,No,Yes
14,0.47,0.02059518029516651,Left,No,Yes
15,0.50,0.021522998447371683,Left,No,Yes
16,0.53,0.020314442199857903,Left,No,Yes
17,0.57,0.020475100020664896,Left,No,Yes
18,0.60,0.02020412816189521,Left,No,Yes
19,0.63,0.01899501687998632,Left,No,Yes
20,0.67,0.018408357805924137,Left,No,Yes
21,0.70,0.01939710779239396,Left,No,Yes
22,0.73,0.02120811075747861,Left,No,Yes
23,0.77,0.02332757854906933,Left,No,Yes
24,0.80,0.025754065871023663,Left,No,Yes
25,0.83,0.029065293694076073,Left,No,Yes
26,0.87,0.029289587443763476,Left,No,Yes
27,0.90,0.028748802527899218,Left,No,Yes
28,0.93,0.026061120496341496,Left,No,Yes
29,0.97,0.02199136247540428,Left,No,Yes
30,1.00,0.019187912658290254,Left,No,Yes
31,1.03,0.018858906436775198,Left,No,Yes
32,1.07,0.018033959935490534,Left,No,Yes
33,1.10,0.017281201776098463,Left,No,Yes
34,1.13,0.016702627274162614,Left,No,Yes
35,1.17,0.017340877498052857,Left,No,Yes
36,1.20,0.0171913097443638,Left,No,Yes
37,1.23,0.01781684181246911,Left,No,Yes
38,1.27,0.019246916169685383,Left,No,Yes
39,1.30,0.021570561058072226,Left,No,Yes
40,1.33,0.02269373667819649,Left,No,Yes
41,1.37,0.02173524660885362,Left,No,Yes
42,1.40,0.021923284674181556,Left,No,Yes
43,1.43,0.021468855728731837,Left,No,Yes
44,1.47,0.018730217256815115,Left,No,Yes
45,1.50,0.018063471919903953,Left,No,Yes
46,1.53,0.01778307573559936,Left,No,Yes
47,1.57,0.017242880444726952,Left,No,Yes
48,1.60,0.0167656468469114,Left,No,Yes
49,1.63,0.017086696926926253,Left,No,Yes
50,1.67,0.016449709362896775,Left,No,Yes
51,1.70,0.016867020895845304,Left,No,Yes
52,1.73,0.01791668859341819,Left,No,Yes
53,1.77,0.01965444942247057,Left,No,Yes
54,1.80,0.021920277554570197,Left,No,Yes
55,1.83,0.02491336875422179,Left,No,Yes
56,1.87,0.024096453126026932,Left,No,Yes
57,1.90,0.02310221465793671,Left,No,Yes
58,1.93,0.02094986594976883,Left,No,Yes
59,1.97,0.019470697524532458,Left,No,Yes
60,2.00,0.017402705923165212,Left,No,Yes
61,2.03,0.0181883068040069,Left,No,Yes
62,2.07,0.018614262157156072,Left,No,Yes
63,2.10,0.01811773800169721,Left,No,Yes
64,2.13,0.018290895750827943,Left,No,Yes
65,2.17,0.018021483984427097,Left,No,Yes
66,2.20,0.017965335723907266,Left,No,Yes
67,2.23,0.018946470395635663,Left,No,Yes
68,2.27,0.020124118491573976,Left,No,Yes
69,2.30,0.022502686750153753,Left,No,Yes
70,2.33,0.023639450319621964,Left,No,Yes
71,2.37,0.024356818352542126,Left,No,Yes
72,2.40,0.022986340994514316,Left,No,Yes
73,2.43,0.02160239266434698,Left,No,Yes
74,2.47,0.0180023769973753,Left,No,Yes
75,2.50,0.017714141027552782,Left,No,Yes
76,2.53,0.016857045711050966,Left,No,Yes
77,2.57,0.0172395674883708,Left,No,Yes
78,2.60,0.017784985779328518,Left,No,Yes
79,2.63,0.017999613615755576,Left,No,Yes
80,2.67,0.017013665929347447,Left,No,Yes
81,2.70,0.01748284036292237,Left,No,Yes
82,2.73,0.01720542656576875,Left,No,Yes
83,2.77,0.017689487030126815,Left,No,Yes
84,2.80,0.018461505115408217,Left,No,Yes
85,2.83,0.02102900367090191,Left,No,Yes
86,2.87,0.01903046207225276,Left,No,Yes
87,2.90,0.017620269228316093,Left,No,Yes
88,2.93,0.01570721861474465,Left,No,Yes
89,2.97,0.013834642878521968,Left,No,Yes
90,3.00,0.012048795269962487,Left,No,Yes
91,3.03,0.01388072763566701,Left,No,Yes
92,3.07,0.01502807404833011,Left,No,Yes
93,3.10,0.014421495882859766,Left,No,Yes
94,3.13,0.014544528740244159,Left,No,Yes
95,3.17,0.014067097944090305,Left,No,Yes
96,3.20,0.01363065541925905,Left,No,Yes
97,3.23,0.013670376514432933,Left,No,Yes
98,3.27,0.01467521059429513,Left,No,Yes
99,3.30,0.016825200638542016,Left,No,Yes
100,3.33,0.018970857521548912,Left,No,Yes
101,3.37,0.020343506382225984,Left,No,Yes
102,3.40,0.019525245373690363,Left,No,Yes
103,3.43,0.018246517488023802,Left,No,Yes
104,3.47,0.013293208038519458,Left,No,Yes
105,3.50,0.011247254968595083,Left,No,Yes
106,3.53,0.01098707094103454,Left,No,Yes
107,3.57,0.011518933692814816,Left,No,Yes
108,3.60,0.011982032958488174,Left,No,Yes
109,3.63,0.011816943849214345,Left,No,Yes
110,3.67,0.010270389978182167,Left,No,Yes
111,3.70,0.010649712764688062,Left,No,Yes
112,3.73,0.010120704759412536,Left,No,Yes
113,3.77,0.011153640029105063,Left,No,Yes
114,3.80,0.013097404422188067,Left,No,Yes
115,3.83,0.015197621468885186,Left,No,Yes
116,3.87,0.013933822290665381,Left,No,Yes
117,3.90,0.01299065288668359,Left,No,Yes
118,3.93,0.012598294622246325,Left,No,Yes
119,3.97,0.011724492211621512,Left,No,Yes
120,4.00,0.010580063627230326,Left,No,Yes
121,4.03,0.011907801444897592,Left,No,Yes
122,4.07,0.013271858656852646,Left,No,Yes
123,4.10,0.014047939938512374,Left,No,Yes
124,4.13,0.0131296349012369,Left,No,Yes
125,4.17,0.013790232971275096,Left,No,Yes
126,4.20,0.012660343167556546,Left,No,Yes
127,4.23,0.01283692093554366,Left,No,Yes
128,4.27,0.011879329759984276,Left,No,Yes
129,4.30,0.013067310705108222,Left,No,Yes
130,4.33,0.015917199249153528,Left,No,Yes
131,4.37,0.018076722485504116,Left,No,Yes
132,4.40,0.018728470986375135,Left,No,Yes
133,4.43,0.019281323873428746,Left,No,Yes
134,4.47,0.01572720664803549,Left,No,Yes
135,4.50,0.014528003862213817,Left,No,Yes
136,4.53,0.014573159492232172,Left,No,Yes
137,4.57,0.014925519266011269,Left,No,Yes
138,4.60,0.01577392670723125,Left,No,Yes
139,4.63,0.016577402245075843,Left,No,Yes
140,4.67,0.016946553261930248,Left,No,Yes
141,4.70,0.01603673121567819,Left,No,Yes
142,4.73,0.016264964885993088,Left,No,Yes
143,4.77,0.015595942496133476,Left,No,Yes
144,4.80,0.016023984625185356,Left,No,Yes
145,4.83,0.019019409821841513,Left,No,Yes
146,4.87,0.018479882156086164,Left,No,Yes
147,4.90,0.01902954299237126,Left,No,Yes
148,4.93,0.0177588581917616,Left,No,Yes
149,4.97,0.016426283822723178,Left,No,Yes
150,5.00,0.015155955567909628,Left,No,Yes
151,5.03,0.015764510628016357,Left,No,Yes
152,5.07,0.01647724726578904,Left,No,Yes
153,5.10,0.016767167485522337,Left,No,Yes
154,5.13,0.016325826243146158,Left,No,Yes
155,5.17,0.017218599162032545,Left,No,Yes
156,5.20,0.01598538016207909,Left,No,Yes
157,5.23,0.016524708143732077,Left,No,Yes
158,5.27,0.01807184286066046,Left,No,Yes
159,5.30,0.020167996958731792,Left,No,Yes
160,5.33,0.021913924253722107,Left,No,Yes
161,5.37,0.024150161808805855,Left,No,Yes
162,5.40,0.024585571159615918,Left,No,Yes
163,5.43,0.023398209152256697,Left,No,Yes
164,5.47,0.021728875949246138,Left,No,Yes
165,5.50,0.021467057120201645,Left,No,Yes
166,5.53,0.020978672213235884,Left,No,Yes
167,5.57,0.022449871516226724,Left,No,Yes
168,5.60,0.0235978836821996,Left,No,Yes
169,5.63,0.023220146911577255,Left,No,Yes
170,5.67,0.02083912445229479,Left,No,Yes
171,5.70,0.020148838028470936,Left,No,Yes
172,5.73,0.019817147242772514,Left,No,Yes
173,5.77,0.02055352008473454,Left,No,Yes
174,5.80,0.02177259422871605,Left,No,Yes
175,5.83,0.023719822172975857,Left,No,Yes
176,5.87,0.02468594664814346,Left,No,Yes
177,5.90,0.022775763852843314,Left,No,Yes
178,5.93,0.02124716431434836,Left,No,Yes
179,5.97,0.0196546085254941,Left,No,Yes
180,6.00,0.018950468059893175,Left,No,Yes
181,6.03,0.01912585783253802,Left,No,Yes
182,6.07,0.02000408514315481,Left,No,Yes
183,6.10,0.020469942003683735,Left,No,Yes
184,6.13,0.019883694411223743,Left,No,Yes
185,6.17,0.020880065928862157,Left,No,Yes
186,6.20,0.01928096753502156,Left,No,Yes
187,6.23,0.019490038717737,Left,No,Yes
